CATRIEL,461 	CATRIEL RIO NEGRO,94 
CIPOLLETTI,1.166 	CIPOLLETTI RIO NEGRO,643 
RIO COLORADO,1.532 	RIO COLORADO RIO NEGRO,410 
CHOELE CHOEL,208 	CHOELE CHOEL RIO NEGRO,135 
LUIS BELTRAN,524 	LUIS BELTRAN RIO NEGRO,27 
LAMARQUE,461 	LAMARQUE RIO NEGRO,41 
VILLA REGINA,306 	VILLA REGINA RIO NEGRO,131 
GENERAL ROCA,6.240 	GENERAL ROCA RIO NEGRO,1.195 
GENERAL CONESA,372 	GENERAL CONESA RIO NEGRO,59 
LOS MENUCOS,57 	LOS MENUCOS RIO NEGRO,47 
SAN ANTONIO OESTE,3.314 	SAN ANTONIO OESTE RIO NEGRO,212 
VIEDMA,1.976 	VIEDMA RIO NEGRO,944 
EL BOLSON,1.333 	EL BOLSON RIO NEGRO,400 
SAN CARLOS DE BARILOCHE,3.836 	SAN CARLOS DE BARILOCHE RIO NEGRO,974 
INGENIERO JACOBACCI,187 	INGENIERO JACOBACCI RIO NEGRO,132 
SIERRA GRANDE,973 	SIERRA GRANDE RIO NEGRO,193 
TARTAGAL,1.135 	TARTAGAL SALTA,788 
PROFESOR SALVADOR MAZZA,124 	PROFESOR SALVADOR MAZZA SALTA,113 
AGUARAY,156 	AGUARAY SALTA,140 
COLONIA SANTA ROSA,364 	COLONIA SANTA ROSA SALTA,118 
PICHANAL,85 	PICHANAL SALTA,78 
HIPOLITO YRIGOYEN,4.267 	HIPOLITO YRIGOYEN SALTA,252 
SAN RAMON DE LA NUEVA ORAN,125 	SAN RAMON DE LA NUEVA ORAN SALTA,117 
EMBARCACION,3.427 	EMBARCACION SALTA,194 
SAN LORENZO,41.278 	SAN LORENZO SALTA,1.609 
SALTA,29.563 	SALTA SALTA,29.563 
CERRILLOS,278 	CERRILLOS SALTA,143 
ROSARIO DE LERMA,136 	ROSARIO DE LERMA SALTA,119 
LA MERCED,6.576 	LA MERCED SALTA,284 
CAMPO SANTO,1.367 	CAMPO SANTO SALTA,106 
GENERAL GUEMES,85 	GENERAL GUEMES SALTA,17 
EL BORDO,15.295 	EL BORDO SALTA,370 
CAMPO QUIJANO,145 	CAMPO QUIJANO SALTA,95 
LAS LAJITAS,119 	LAS LAJITAS SALTA,104 
APOLINARIO SARAVIA,21 	APOLINARIO SARAVIA SALTA,16 
CORONEL JUAN SOLA,390 	CORONEL JUAN SOLA SALTA,31 
SAN ANTONIO DE LOS COBRES,245 	SAN ANTONIO DE LOS COBRES SALTA,199 
EL CARRIL,5.927 	EL CARRIL SALTA,297 
CHICOANA,85 	CHICOANA SALTA,79 
CORONEL MOLDES,167 	CORONEL MOLDES SALTA,65 
METAN,1.010 	METAN SALTA,201 
ROSARIO DE LA FRONTERA,1.022 	ROSARIO DE LA FRONTERA SALTA,402 
EL GALPON,3.207 	EL GALPON SALTA,211 
EL QUEBRACHAL,38 	EL QUEBRACHAL SALTA,23 
JOAQUIN V GONZALEZ,887 	JOAQUIN V GONZALEZ SALTA,119 
CAFAYATE,865 	CAFAYATE SALTA,557 
VILLA SAN AGUSTIN,1.221 	VILLA SAN AGUSTIN SAN JUAN,835 
SAN JOSE DE JACHAL,51 	SAN JOSE DE JACHAL SAN JUAN,50 
SANTA LUCIA,2.142 	SANTA LUCIA SAN JUAN,779 
VILLA KRAUSE,55 	VILLA KRAUSE SAN JUAN,32 
VILLA ABERASTAIN,3 	VILLA ABERASTAIN SAN JUAN,2 
RIVADAVIA,21.898 	RIVADAVIA SAN JUAN,4.896 
CALINGASTA,129 	CALINGASTA SAN JUAN,120 
LOS BERROS,175 	LOS BERROS SAN JUAN,34 
VILLA BASILIO NIEVAS,1 	VILLA MEDIA AGUA SAN JUAN,206 
VILLA MEDIA AGUA,856 	VILLA 9 DE JULIO SAN JUAN,1.204 
VILLA 9 DE JULIO,3.140 	VILLA BARBOSA SAN JUAN,63 
VILLA BARBOSA,140 	SAN JUAN SAN JUAN,75.487 
SAN JUAN,75.487 	ALTO DE SIERRA SAN JUAN,145 
ALTO DE SIERRA,928 	VILLA  PAULA ALBARRACIN DE SARMIENTO SAN JUAN,6 
VILLA  PAULA ALBARRACIN DE SARMIENTO,8 	VILLA GENERAL SAN MARTIN SAN JUAN,2.028 
VILLA GENERAL SAN MARTIN,5.763 	VILLA EL SALVADOR SAN JUAN,515 
VILLA EL SALVADOR,1.397 	CAUCETE SAN JUAN,86 
CAUCETE,98 	EL RINCON SAN JUAN,1.958 
EL RINCON,13.507 	VILLA SANTA ROSA SAN JUAN,584 
VILLA SANTA ROSA,1.239 	VILLA BORJAS SAN JUAN,3 
VILLA BORJAS,5 	SAN FRANCISCO DEL MONTE DE ORO SAN LUIS,59 
SAN FRANCISCO DEL MONTE DE ORO,95 	QUINES SAN LUIS,45 
QUINES,79 	NASCHEL SAN LUIS,28 
NASCHEL,28 	TILISARAO SAN LUIS,33 
TILISARAO,33 	CONCARAN SAN LUIS,45 
CONCARAN,71 	SANTA ROSA DEL CONLARA SAN LUIS,25 
SANTA ROSA DEL CONLARA,25 	MERLO SAN LUIS,1.372 
MERLO,10.166 	SAN LUIS SAN LUIS,49.979 
SAN LUIS,49.979 	VILLA REYNOLDS SAN LUIS,54 
VILLA REYNOLDS,75 	VILLA MERCEDES SAN LUIS,1.158 
VILLA MERCEDES,2.403 	LA TOMA SAN LUIS,1.971 
LA TOMA,47.641 	JUSTO DARACT SAN LUIS,77 
JUSTO DARACT,87 	CALETA OLIVIA SANTA CRUZ,639 
CALETA OLIVIA,898 	LAS HERAS SANTA CRUZ,649 
LAS HERAS,5.494 	PICO TRUNCADO SANTA CRUZ,383 
PICO TRUNCADO,495 	GOBERNADOR GREGORES SANTA CRUZ,105 
GOBERNADOR GREGORES,121 	PUERTO DESEADO SANTA CRUZ,304 
PUERTO DESEADO,682 	PUERTO SAN JULIAN SANTA CRUZ,186 
PUERTO SAN JULIAN,547 	COMANDANTE LUIS PIEDRABUENA SANTA CRUZ,29 
COMANDANTE LUIS PIEDRABUENA,59 	RIO GALLEGOS SANTA CRUZ,2.871 
RIO GALLEGOS,5.569 	FLORENCIA SANTA FE,1.026 
FLORENCIA,15.140 	VILLA GUILLERMINA SANTA FE,41 
VILLA GUILLERMINA,110 	LAS TOSCAS SANTA FE,91 
LAS TOSCAS,368 	VILLA OCAMPO SANTA FE,327 
VILLA OCAMPO,1.343 	VILLA ANA SANTA FE,614 
VILLA ANA,2.121 	VILLA MINETTI SANTA FE,84 
VILLA MINETTI,121 	TOSTADO SANTA FE,182 
TOSTADO,1.090 	CERES SANTA FE,165 
CERES,356 	LA GALLARETA SANTA FE,14 
LA GALLARETA,53 	CALCHAQUI SANTA FE,92 
CALCHAQUI,512 	MARGARITA SANTA FE,1.388 
MARGARITA,9.600 	VERA SANTA FE,2.346 
VERA,29.265 	AVELLANEDA SANTA FE,2.607 
AVELLANEDA,26.938 	RECONQUISTA SANTA FE,1.967 
RECONQUISTA,5.783 	PUERTO RECONQUISTA SANTA FE,446 
PUERTO RECONQUISTA,791 	MALABRIGO SANTA FE,75 
MALABRIGO,88 	ROMANG SANTA FE,47 
ROMANG,90 	SUARDI SANTA FE,54 
SUARDI,372 	SAN GUILLERMO SANTA FE,3.030 
SAN GUILLERMO,19.725 	HERSILIA SANTA FE,27 
HERSILIA,34 	SUNCHALES SANTA FE,419 
SUNCHALES,2.891 	SAN JAVIER SANTA FE,2.220 
SAN JAVIER,14.273 	MOISES VILLE SANTA FE,31 
MOISES VILLE,53 	HUMBERTO I SANTA FE,403 
HUMBERTO I,1.268 	SAN CRISTOBAL SANTA FE,551 
SAN CRISTOBAL,2.828 	SAN JUSTO SANTA FE,2.826 
SAN JUSTO,15.690 	GOBERNADOR CRESPO SANTA FE,68 
GOBERNADOR CRESPO,203 	FRONTERA SANTA FE,1.045 
FRONTERA,20.551 	SASTRE SANTA FE,189 
SASTRE,1.888 	MARIA JUANA SANTA FE,252 
MARIA JUANA,1.817 	SANTA CLARA DE SAGUIER SANTA FE,20 
SANTA CLARA DE SAGUIER,28 	SAN VICENTE SANTA FE,1.943 
SAN VICENTE,11.377 	SAN JORGE SANTA FE,6.563 
SAN JORGE,42.871 	SANTA FE SANTA FE,60.132 
SANTA FE,60.132 	RAFAELA SANTA FE,2.484 
RAFAELA,9.391 	SANTA CLARA DE BUENA VISTA SANTA FE,62 
SANTA CLARA DE BUENA VISTA,143 	PILAR SANTA FE,2.170 
PILAR,22.846 	HUMBOLDT SANTA FE,958 
HUMBOLDT,2.544 	SAN JERONIMO NORTE SANTA FE,125 
SAN JERONIMO NORTE,249 	SAN CARLOS CENTRO SANTA FE,3.170 
SAN CARLOS CENTRO,14.490 	CORONDA SANTA FE,360 
CORONDA,461 	SANTO TOME SANTA FE,352 
SANTO TOME,924 	ESPERANZA SANTA FE,2.522 
ESPERANZA,35.393 	NELSON SANTA FE,603 
NELSON,12.419 	LAGUNA PAIVA SANTA FE,80 
LAGUNA PAIVA,104 	MONTE VERA SANTA FE,134 
MONTE VERA,497 	RECREO SANTA FE,244 
RECREO,2.659 	HELVECIA SANTA FE,31 
HELVECIA,93 	FRANCK SANTA FE,130 
FRANCK,1.062 	FRAY LUIS BELTRAN SANTA FE,43 
FRAY LUIS BELTRAN,169 	MACIEL SANTA FE,203 
MACIEL,1.874 	ROSARIO SANTA FE,11.613 
ROSARIO,61.609 	SAN LORENZO SANTA FE,3.784 
SAN LORENZO,41.278 	CENTENO SANTA FE,131 
CENTENO,1.496 	SAN GENARO SANTA FE,127 
SAN GENARO,431 	SAN GENARO NORTE SANTA FE,49 
SAN GENARO NORTE,72 	GALVES SANTA FE,2 
GALVES,33 	TOTORAS SANTA FE,54 
TOTORAS,131 	CORREA SANTA FE,541 
CORREA,7.531 	BARRANCAS SANTA FE,167 
BARRANCAS,1.609 	SAN JERONIMO SUD SANTA FE,3 
SAN JERONIMO SUD,14 	ROLDAN SANTA FE,495 
ROLDAN,3.750 	SERODINO SANTA FE,21 
SERODINO,28 	OLIVEROS SANTA FE,108 
OLIVEROS,275 	GRANADERO BAIGORRIA SANTA FE,168 
GRANADERO BAIGORRIA,318 	CAPITAN BERMUDEZ SANTA FE,81 
CAPITAN BERMUDEZ,358 	FUNES SANTA FE,508 
FUNES,6.048 	PUERTO GENERAL SAN MARTIN SANTA FE,786 
PUERTO GENERAL SAN MARTIN,2.818 	VENADO TUERTO SANTA FE,938 
VENADO TUERTO,2.686 	CORONEL BOGADO SANTA FE,55 
CORONEL BOGADO,92 	VILLA CONSTITUCION SANTA FE,627 
VILLA CONSTITUCION,2.404 	CASILDA SANTA FE,310 
CASILDA,448 	PUJATO SANTA FE,53 
PUJATO,128 	ZAVALLA SANTA FE,82 
ZAVALLA,130 	PEREZ SANTA FE,3.312 
PEREZ,37.471 	ARROYO SECO SANTA FE,293 
ARROYO SECO,2.433 	ALVAREZ SANTA FE,2.994 
ALVAREZ,32.053 	AREQUITO SANTA FE,87 
AREQUITO,263 	CHABAS SANTA FE,168 
CHABAS,213 	FUENTES SANTA FE,5.870 
FUENTES,110.214 	ACEBAL SANTA FE,36 
ACEBAL,368 	FIGHIERA SANTA FE,26 
FIGHIERA,41 	EMPALME VILLA CONSTITUCION SANTA FE,25 
EMPALME VILLA CONSTITUCION,63 	VILLA MUGUETA SANTA FE,13 
VILLA MUGUETA,15 	BIGAND SANTA FE,30 
BIGAND,32 	SANTA TERESA SANTA FE,1.275 
SANTA TERESA,2.540 	MAXIMO PAZ SANTA FE,361 
MAXIMO PAZ,3.914 	BOMBAL SANTA FE,29 
BOMBAL,149 	ALCORTA SANTA FE,2.818 
ALCORTA,11.001 	PEYRANO SANTA FE,44 
PEYRANO,124 	SANCTI SPIRITU SANTA FE,21 
SANCTI SPIRITU,39 	MARIA TERESA SANTA FE,834 
MARIA TERESA,5.021 	RUFINO SANTA FE,1.032 
RUFINO,2.286 	SAN GREGORIO SANTA FE,481 
SAN GREGORIO,2.473 	TEODELINA SANTA FE,84 
TEODELINA,279 	VILLA GOBERNADOR GALVEZ SANTA FE,272 
VILLA GOBERNADOR GALVEZ,1.507 	MONTE QUEMADO SANTIAGO DEL ESTERO,53 
MONTE QUEMADO,111 	NUEVA ESPERANZA SANTIAGO DEL ESTERO,145 
NUEVA ESPERANZA,9.452 	CAMPO GALLO SANTIAGO DEL ESTERO,76 
CAMPO GALLO,1.020 	PAMPA DE LOS GUANACOS SANTIAGO DEL ESTERO,19 
PAMPA DE LOS GUANACOS,77 	TERMAS DE RIO HONDO SANTIAGO DEL ESTERO,449 
TERMAS DE RIO HONDO,717 	SANTIAGO DEL ESTERO SANTIAGO DEL ESTERO,12.279 
SANTIAGO DEL ESTERO,12.279 	LA BANDA SANTIAGO DEL ESTERO,1.154 
LA BANDA,50.140 	CLODOMIRA SANTIAGO DEL ESTERO,28 
CLODOMIRA,38 	BELTRAN SANTIAGO DEL ESTERO,56 
BELTRAN,1.299 	FORRES SANTIAGO DEL ESTERO,15 
FORRES,19 	FERNANDEZ SANTIAGO DEL ESTERO,1.441 
FERNANDEZ,93.508 	TINTINA SANTIAGO DEL ESTERO,9 
TINTINA,10 	QUIMILI SANTIAGO DEL ESTERO,92 
QUIMILI,102 	TAPSO CATAMARCA,5 
TAPSO,8 	FRIAS SANTIAGO DEL ESTERO,168 
FRIAS,3.605 	CIUDAD DE LORETO SANTIAGO DEL ESTERO,72 
CIUDAD DE LORETO,813 	LOS JURIES SANTIAGO DEL ESTERO,13 
LOS JURIES,31 	BANDERA SANTIAGO DEL ESTERO,324 
BANDERA,23.902 	VILLA OJO DE AGUA SANTIAGO DEL ESTERO,31 
VILLA OJO DE AGUA,284 	SUMAMPA SANTIAGO DEL ESTERO,36 
SUMAMPA,57 	VILLA GENERAL MITRE SANTIAGO DEL ESTERO,71 
VILLA GENERAL MITRE,1.440 	SELVA SANTIAGO DEL ESTERO,110 
SELVA,6.422 	GONZALEZ MORENO BUENOS AIRES,1.409 
GONZALEZ MORENO,3.412 	BANDERALO BUENOS AIRES,26 
BANDERALO,54 	SAN VICENTE BUENOS AIRES,5.246 
SAN VICENTE,11.377 	RANCHOS BUENOS AIRES,301 
RANCHOS,753 	CORONEL BRANDSEN BUENOS AIRES,320 
CORONEL BRANDSEN,542 	CHASCOMUS BUENOS AIRES,1.155 
CHASCOMUS,2.326 	MANUEL  J. COBO BUENOS AIRES,20 
MANUEL  J. COBO,73 	MAGDALENA BUENOS AIRES,2.048 
MAGDALENA,5.955 	VERONICA BUENOS AIRES,3.322 
VERONICA,10.151 	GENERAL VILLEGAS BUENOS AIRES,1.273 
GENERAL VILLEGAS,2.381 	TRES ALGARROBOS BUENOS AIRES,83 
TRES ALGARROBOS,165 	CARLOS TEJEDOR BUENOS AIRES,250 
CARLOS TEJEDOR,511 	TRENQUE LAUQUEN BUENOS AIRES,1.640 
TRENQUE LAUQUEN,2.685 	JUAN JOSE PASO BUENOS AIRES,5.485 
JUAN JOSE PASO,14.249 	PEHUAJO BUENOS AIRES,593 
PEHUAJO,1.107 	AMERICA BUENOS AIRES,28.256 
AMERICA,101.293 	ROBERTS BUENOS AIRES,585 
ROBERTS,3.141 	GOBERNADOR ARIAS BUENOS AIRES,464 
GOBERNADOR ARIAS,1.221 	MULCAHY BUENOS AIRES,9 
MULCAHY,36 	LOS TOLDOS BUENOS AIRES,342 
LOS TOLDOS,828 	MECHITA BUENOS AIRES,48 
MECHITA,253 	BRAGADO BUENOS AIRES,558 
BRAGADO,1.245 	9 DE JULIO BUENOS AIRES,11.679 
9 DE JULIO,30.230 	DUDIGNAC BUENOS AIRES,6 
DUDIGNAC,16 	CARLOS CASARES BUENOS AIRES,1.478 
CARLOS CASARES,2.400 	25 DE MAYO BUENOS AIRES,10.624 
25 DE MAYO,24.764 	SALADILLO BUENOS AIRES,610 
SALADILLO,1.242 	SAN MIGUEL DEL MONTE BUENOS AIRES,650 
SAN MIGUEL DEL MONTE,1.115 	ROQUE PEREZ BUENOS AIRES,639 
ROQUE PEREZ,1.415 	LOBOS BUENOS AIRES,1.382 
LOBOS,4.390 	NAVARRO BUENOS AIRES,3.046 
NAVARRO,10.579 	NORBERTO DE LA RIESTRA BUENOS AIRES,36 
NORBERTO DE LA RIESTRA,62 	GENERAL BELGRANO BUENOS AIRES,6.629 
GENERAL BELGRANO,14.501 	PELLEGRINI BUENOS AIRES,3.465 
PELLEGRINI,11.274 	TRES LOMAS BUENOS AIRES,2.792 
TRES LOMAS,5.921 	SALLIQUELO BUENOS AIRES,487 
SALLIQUELO,2.710 	30 DE AGOSTO BUENOS AIRES,6.606 
30 DE AGOSTO,16.815 	CASBAS BUENOS AIRES,9 
CASBAS,18 	DAIREAUX BUENOS AIRES,328 
DAIREAUX,674 	HENDERSON BUENOS AIRES,311 
HENDERSON,983 	AZUL BUENOS AIRES,7.178 
AZUL,27.696 	CACHARI BUENOS AIRES,23 
CACHARI,43 	LAS FLORES BUENOS AIRES,9.531 
LAS FLORES,29.711 	RAUCH BUENOS AIRES,327 
RAUCH,782 	CASTELLI BUENOS AIRES,888 
CASTELLI,2.392 	MAIPU BUENOS AIRES,3.154 
MAIPU,6.033 	DOLORES BUENOS AIRES,4.047 
DOLORES,14.993 	GENERAL JUAN  MADARIAGA BUENOS AIRES,202 
GENERAL JUAN  MADARIAGA,342 	SAN CLEMENTE DEL TUYU BUENOS AIRES,260 
SAN CLEMENTE DEL TUYU,458 	GENERAL LAVALLE BUENOS AIRES,1.368 
GENERAL LAVALLE,2.816 	MAR DEL TUYU BUENOS AIRES,263 
MAR DEL TUYU,464 	SANTA TERESITA BUENOS AIRES,442 
SANTA TERESITA,1.082 	SAN BERNARDO BUENOS AIRES,1.955 
SAN BERNARDO,4.941 	MAR DE AJO BUENOS AIRES,577 
MAR DE AJO,1.588 	GENERAL ALVEAR BUENOS AIRES,4.650 
GENERAL ALVEAR,6.977 	SAN CARLOS DE BOLIVAR BUENOS AIRES,1.538 
SAN CARLOS DE BOLIVAR,2.442 	TAPALQUE BUENOS AIRES,173 
TAPALQUE,320 	URDAMPILLETA BUENOS AIRES,58 
URDAMPILLETA,127 	HINOJO BUENOS AIRES,99 
HINOJO,602 	OLAVARRIA BUENOS AIRES,1.552 
OLAVARRIA,4.757 	VILLA ALFREDO FORTABAT BUENOS AIRES,100 
VILLA ALFREDO FORTABAT,104 	SIERRAS BAYAS BUENOS AIRES,20 
SIERRAS BAYAS,37 	RIVERA BUENOS AIRES,1.410 
RIVERA,4.219 	COLONIA SAN MIGUEL ARCANGEL BUENOS AIRES,4 
COLONIA SAN MIGUEL ARCANGEL,9 	BORDENAVE BUENOS AIRES,130 
BORDENAVE,282 	DARREGUEIRA BUENOS AIRES,41 
DARREGUEIRA,71 	GENERAL LAMADRID BUENOS AIRES,458 
GENERAL LAMADRID,1.001 	CORONEL PRINGLES BUENOS AIRES,363 
CORONEL PRINGLES,627 	VILLA CACIQUE BUENOS AIRES,66 
VILLA CACIQUE,133 	TANDIL BUENOS AIRES,2.790 
TANDIL,7.840 	AYACUCHO BUENOS AIRES,1.355 
AYACUCHO,2.931 	PINAMAR BUENOS AIRES,2.547 
PINAMAR,6.949 	GENERAL PIRAN BUENOS AIRES,51 
GENERAL PIRAN,193 	GENERAL JUAN MADARIAGA BUENOS AIRES,202 
GENERAL JUAN MADARIAGA,342 	SANTA CLARA DEL MAR BUENOS AIRES,328 
SANTA CLARA DEL MAR,629 	CAMET BUENOS AIRES,287 
CAMET,573 	VIVORATA BUENOS AIRES,43 
VIVORATA,136 	OSTENDE BUENOS AIRES,194 
OSTENDE,495 	MAR DEL PLATA BUENOS AIRES,16.648 
MAR DEL PLATA,47.189 	BALCARCE BUENOS AIRES,4.730 
BALCARCE,11.581 	CORONEL VIDAL BUENOS AIRES,215 
CORONEL VIDAL,382 	PUAN BUENOS AIRES,482 
PUAN,755 	GUAMINI BUENOS AIRES,209 
GUAMINI,442 	SANTA TRINIDAD BUENOS AIRES,233 
SANTA TRINIDAD,602 	CORONEL SUAREZ BUENOS AIRES,787 
CORONEL SUAREZ,2.403 	HUANGUELEN BUENOS AIRES,54 
HUANGUELEN,106 	SAAVEDRA BUENOS AIRES,2.848 
SAAVEDRA,6.567 	VILLA IRIS BUENOS AIRES,209 
VILLA IRIS,303 	TORNQUIST BUENOS AIRES,346 
TORNQUIST,602 	CABILDO BUENOS AIRES,3.491 
CABILDO,6.475 	PUNTA ALTA BUENOS AIRES,1.514 
PUNTA ALTA,4.155 	MEDANOS BUENOS AIRES,380 
MEDANOS,1.227 	GENERAL CERRI BUENOS AIRES,25 
GENERAL CERRI,58 	ALDEA ROMANA BUENOS AIRES,17 
ALDEA ROMANA,67 	INGENIERO WHITE BUENOS AIRES,115 
INGENIERO WHITE,284 	CORONEL DORREGO BUENOS AIRES,312 
CORONEL DORREGO,537 	MONTE HERMOSO BUENOS AIRES,321 
MONTE HERMOSO,901 	ORIENTE BUENOS AIRES,3.010 
ORIENTE,17.878 	MICAELA CASCALLARES BUENOS AIRES,22 
MICAELA CASCALLARES,26 	ADOLFO GONZALES CHAVES BUENOS AIRES,34 
ADOLFO GONZALES CHAVES,52 	TRES ARROYOS BUENOS AIRES,1.386 
TRES ARROYOS,3.519 	SAN FRANCISCO DE BELLOCQ BUENOS AIRES,17 
SAN FRANCISCO DE BELLOCQ,33 	CLAROMECO BUENOS AIRES,94 
CLAROMECO,183 	COMANDANTE NICANOR OTAMENDI BUENOS AIRES,2 
COMANDANTE NICANOR OTAMENDI,12 	BATAN BUENOS AIRES,129 
BATAN,435 	MIRAMAR BUENOS AIRES,740 
MIRAMAR,2.053 	JUAN N. FERNANDEZ BUENOS AIRES,1.658 
JUAN N. FERNANDEZ,4.010 	LOBERIA BUENOS AIRES,280 
LOBERIA,652 	NICANOR OLIVERA BUENOS AIRES,9 
NICANOR OLIVERA,21 	SAN CAYETANO BUENOS AIRES,697 
SAN CAYETANO,1.340 	RAMON SANTAMARINA BUENOS AIRES,126 
RAMON SANTAMARINA,383 	QUEQUEN BUENOS AIRES,358 
QUEQUEN,779 	NECOCHEA BUENOS AIRES,4.740 
NECOCHEA,6.613 	ORENSE BUENOS AIRES,86 
ORENSE,220 	VILLALONGA BUENOS AIRES,464 
VILLALONGA,1.043 	PEDRO LURO BUENOS AIRES,137 
PEDRO LURO,282 	MAYOR BURATOVICH BUENOS AIRES,15 
MAYOR BURATOVICH,22 	CARMEN DE PATAGONES BUENOS AIRES,324 
CARMEN DE PATAGONES,683 	BAHIA BLANCA BUENOS AIRES,7.932 
BAHIA BLANCA,16.864 	LAPRIDA BUENOS AIRES,873 
LAPRIDA,2.165 	CHILLAR BUENOS AIRES,111 
CHILLAR,509 	BENITO JUAREZ BUENOS AIRES,470 
BENITO JUAREZ,1.058 	SAN PEDRO BUENOS AIRES,8.603 
SAN PEDRO,21.553 	BARADERO BUENOS AIRES,1.146 
BARADERO,1.737 	SANTA LUCIA BUENOS AIRES,1.051 
SANTA LUCIA,2.142 	GOBERNADOR CASTRO BUENOS AIRES,500 
GOBERNADOR CASTRO,1.187 	RAMALLO BUENOS AIRES,1.471 
RAMALLO,2.840 	SAN NICOLAS DE LOS ARROYOS BUENOS AIRES,189 
SAN NICOLAS DE LOS ARROYOS,327 	LA EMILIA BUENOS AIRES,1.020 
LA EMILIA,3.481 	GENERAL ROJO BUENOS AIRES,1.814 
GENERAL ROJO,5.725 	CONESA BUENOS AIRES,301 
CONESA,628 	PEREZ MILLAN BUENOS AIRES,40 
PEREZ MILLAN,93 	COLON BUENOS AIRES,12.167 
COLON,37.531 	PERGAMINO BUENOS AIRES,1.849 
PERGAMINO,4.087 	VILLA RAMALLO BUENOS AIRES,646 
VILLA RAMALLO,966 	JUAN BAUTISTA ALBERDI BUENOS AIRES,821 
JUAN BAUTISTA ALBERDI,1.567 	VEDIA BUENOS AIRES,1.485 
VEDIA,3.654 	GENERAL PINTO BUENOS AIRES,718 
GENERAL PINTO,1.586 	FLORENTINO AMEGHINO BUENOS AIRES,199 
FLORENTINO AMEGHINO,342 	LINCOLN BUENOS AIRES,1.324 
LINCOLN,3.374 	GERMANIA BUENOS AIRES,31 
GERMANIA,72 	ARRECIFES BUENOS AIRES,615 
ARRECIFES,1.864 	LA TRINIDAD BUENOS AIRES,863 
LA TRINIDAD,3.733 	ROJAS BUENOS AIRES,5.565 
ROJAS,18.907 	ASCENSION BUENOS AIRES,173 
ASCENSION,644 	GENERAL ARENALES BUENOS AIRES,903 
GENERAL ARENALES,1.607 	SALTO BUENOS AIRES,5.577 
SALTO,24.469 	LEANDRO N. ALEM BUENOS AIRES,1.345 
LEANDRO N. ALEM,2.991 	RAWSON BUENOS AIRES,1.019 
RAWSON,2.723 	JUNIN BUENOS AIRES,6.993 
JUNIN,12.925 	CHACABUCO BUENOS AIRES,2.981 
CHACABUCO,5.317 	MORSE BUENOS AIRES,84 
MORSE,297 	CHIVILCOY BUENOS AIRES,1.119 
CHIVILCOY,1.753 	GENERAL O'BRIEN BUENOS AIRES,17 
GENERAL O'BRIEN,61 	SUIPACHA BUENOS AIRES,4.228 
SUIPACHA,6.995 	MARCOS PAZ BUENOS AIRES,1.537 
